iter	RMSE
0	80.39088926
1	80.32263889
2	80.25788342
3	80.18841106
4	80.13182184
5	80.06742405
6	80.00553017
7	79.94286813
8	79.88782296
9	79.82361271
10	79.76082679
11	79.70488874
12	79.6484455
13	79.58891427
14	79.53437013
15	79.47349029
16	79.41620832
17	79.36370532
18	79.31269923
19	79.25860921
20	79.20715511
21	79.16358077
22	79.11279973
23	79.06392421
24	79.02041196
25	78.97929853
26	78.93680823
27	78.88836348
28	78.8434906
29	78.79116875
30	78.74281912
31	78.70031561
32	78.65944104
33	78.61237829
34	78.56854364
35	78.5251123
36	78.48771031
37	78.44460991
38	78.40527745
39	78.36470031
40	78.32542265
41	78.28517527
42	78.24441396
43	78.20588073
44	78.17011558
45	78.13370839
46	78.09905667
47	78.06454181
48	78.03075116
49	77.99137886
50	77.95698171
51	77.92193741
52	77.88613845
53	77.85210003
54	77.8177537
55	77.78578949
56	77.74550291
57	77.71315979
58	77.68089524
59	77.64888049
60	77.61758658
61	77.58665329
62	77.55529083
63	77.52244749
64	77.49199542
65	77.45815139
66	77.43124345
67	77.40171334
68	77.37503104
69	77.34164438
70	77.31523484
71	77.28344953
72	77.26420667
73	77.23649087
74	77.20988766
75	77.18588039
76	77.16127799
77	77.13285349
78	77.11062673
79	77.08232097
80	77.05657754
81	77.03349456
82	77.00524658
83	76.98057545
84	76.9561612
85	76.93249832
86	76.90683568
87	76.88743914
88	76.86619077
89	76.84475279
90	76.82007499
91	76.79552632
92	76.7749957
93	76.75276706
94	76.73096142
95	76.70812292
96	76.67961376
97	76.65627071
98	76.63401913
99	76.61297388
100	76.58932053
101	76.56694923
102	76.5458737
103	76.52849735
104	76.51987745
105	76.49727664
106	76.47315104
107	76.45119407
108	76.4259196
109	76.40828617
110	76.39067988
111	76.37397489
112	76.35363435
113	76.33600176
114	76.31383635
115	76.28692694
116	76.27319005
117	76.25205682
118	76.22984534
119	76.21439157
120	76.19649153
121	76.1757783
122	76.16115222
123	76.15536535
124	76.13143915
125	76.11641295
126	76.09724716
127	76.08169684
128	76.06202311
129	76.04099897
130	76.02065136
131	76.01018619
132	75.9918465
133	75.97121583
134	75.95098177
135	75.93152484
136	75.91656957
137	75.89863854
138	75.88398772
139	75.86865736
140	75.85256565
141	75.83538972
142	75.81885486
143	75.80293485
144	75.78816193
145	75.77573609
146	75.76179281
147	75.74849223
148	75.73239147
149	75.72487566
150	75.71198139
151	75.69471734
152	75.67879121
153	75.66276405
154	75.64482535
155	75.63119074
156	75.61439918
157	75.60066743
158	75.58631266
159	75.57163058
160	75.55892582
161	75.54410303
162	75.5329842
163	75.51622522
164	75.50268975
165	75.48787206
166	75.47409921
167	75.4614914
168	75.44635366
169	75.43336404
170	75.41832379
171	75.40695101
172	75.39487119
173	75.38353653
174	75.37079209
175	75.35806611
176	75.3383893
177	75.32684034
178	75.31606206
179	75.30146554
180	75.28830891
181	75.2726381
182	75.2567469
183	75.24392157
184	75.23311341
185	75.21873651
186	75.20670892
187	75.19335268
188	75.17394428
189	75.16383583
190	75.15296007
191	75.13973826
192	75.12433937
193	75.11099095
194	75.09599145
195	75.08316204
196	75.07188466
197	75.06101684
198	75.04986771
199	75.03662304
200	75.02358779
201	75.01519314
202	75.00236526
203	74.98956468
204	74.98076478
205	74.97401781
206	74.96080011
207	74.94873176
208	74.93496348
209	74.92523463
210	74.91205377
211	74.90176032
212	74.89268384
213	74.88538889
214	74.87495975
215	74.86551286
216	74.85724088
217	74.85311682
218	74.84136616
219	74.82918378
220	74.81739565
221	74.80701894
222	74.79428146
223	74.78325232
224	74.76902365
225	74.75923949
226	74.74685918
227	74.73512084
228	74.72656212
229	74.7198296
230	74.7112497
231	74.69494078
232	74.68547185
233	74.67260175
234	74.66128197
235	74.65093436
236	74.63776583
237	74.62790561
238	74.61505602
239	74.60163616
240	74.59350114
241	74.58477812
242	74.5722799
