iter	Passed	Remaining
0	162	161957
1	199	99626
2	230	76492
3	264	65853
4	301	59938
5	340	56425
6	381	54107
7	424	52637
8	463	51038
9	499	49410
10	534	48099
11	620	51073
12	655	49757
13	687	48438
14	719	47275
15	750	46165
16	781	45164
17	811	44284
18	841	43437
19	870	42654
20	899	41931
21	928	41265
22	957	40658
23	985	40092
24	1014	39566
25	1043	39076
26	1072	38641
27	1121	38917
28	1150	38538
29	1178	38115
30	1207	37758
31	1237	37425
32	1265	37092
33	1293	36753
34	1320	36421
35	1351	36180
36	1377	35858
37	1407	35638
38	1435	35372
39	1464	35138
40	1491	34878
41	1519	34655
42	1546	34427
43	1575	34221
44	1601	33990
45	1630	33809
46	1658	33638
47	1687	33463
48	1715	33294
49	1742	33107
50	1770	32953
51	1797	32778
52	1825	32617
53	1853	32463
54	1880	32314
55	1912	32241
56	1941	32124
57	1970	32007
58	2000	31902
59	2029	31795
60	2059	31708
61	2093	31673
62	2122	31573
63	2151	31460
64	2180	31369
65	2209	31267
66	2239	31188
67	2268	31086
68	2297	31000
69	2325	30900
70	2355	30821
71	2383	30727
72	2403	30521
73	2430	30415
74	2460	30345
75	2491	30288
76	2520	30211
77	2548	30125
78	2577	30052
79	2607	29984
80	2637	29922
81	2664	29833
82	2692	29745
83	2721	29675
84	2751	29613
85	2779	29537
86	2810	29491
87	2839	29429
88	2866	29343
89	2896	29287
90	2927	29240
91	2958	29196
92	2988	29146
93	3021	29120
94	3057	29125
95	3092	29117
96	3126	29107
97	3159	29081
98	3192	29054
99	3227	29044
100	3257	28994
101	3290	28972
102	3321	28922
103	3354	28896
104	3363	28673
105	3394	28629
106	3428	28613
107	3458	28568
108	3491	28541
109	3522	28501
110	3554	28470
111	3584	28420
112	3613	28362
113	3645	28332
114	3675	28282
115	3705	28239
116	3734	28187
117	3766	28150
118	3796	28104
119	3827	28066
120	3858	28031
121	3888	27986
122	3917	27931
123	3931	27772
124	3962	27738
125	3993	27698
126	4024	27665
127	4053	27612
128	4085	27584
129	4114	27535
130	4145	27499
131	4175	27457
132	4205	27412
133	4236	27376
134	4266	27334
135	4298	27307
136	4329	27270
137	4362	27249
138	4396	27234
139	4428	27202
140	4457	27156
141	4492	27142
142	4522	27101
143	4553	27067
144	4621	27253
145	4652	27215
146	4683	27179
147	4719	27168
148	4751	27136
149	4775	27059
150	4807	27031
151	4836	26984
152	4870	26965
153	4908	26962
154	4942	26944
155	4976	26925
156	5013	26919
157	5046	26894
158	5078	26860
159	5110	26831
160	5140	26786
161	5175	26770
162	5214	26774
163	5255	26788
164	5296	26804
165	5330	26782
166	5365	26763
167	5397	26731
168	5427	26689
169	5462	26669
170	5499	26662
171	5534	26640
172	5570	26630
173	5602	26596
174	5636	26571
175	5669	26545
176	5709	26546
177	5742	26518
178	5775	26489
179	5808	26461
180	5847	26460
181	5886	26458
182	5925	26456
183	5955	26412
184	5989	26386
185	6022	26355
186	6061	26351
187	6095	26326
188	6136	26331
189	6169	26299
190	6204	26280
191	6237	26248
192	6265	26199
193	6294	26150
194	6324	26110
195	6363	26102
196	6397	26078
197	6432	26054
198	6474	26059
199	6509	26037
200	6554	26055
201	6589	26030
202	6627	26018
203	6663	26000
204	6700	25986
205	6738	25972
206	6776	25959
207	6813	25944
208	6844	25905
209	6880	25882
210	6914	25854
211	6948	25826
212	6982	25797
213	7020	25784
214	7053	25751
215	7088	25729
216	7128	25721
217	7165	25702
218	7198	25672
219	7238	25663
220	7270	25628
221	7307	25608
222	7337	25567
223	7373	25544
224	7412	25533
225	7450	25514
226	7484	25488
227	7519	25461
228	7556	25442
229	7599	25440
230	7639	25433
231	7677	25413
232	7712	25389
233	7752	25377
234	7790	25359
235	7846	25401
236	7878	25365
237	7910	25327
238	7941	25287
239	7977	25260
240	8011	25230
241	8049	25211
242	8085	25189
