id,home_team_id,away_team_id,home_abbrev,away_abbrev,date,week,season,home_score,away_score,temp,humd,wind,cond,spread,ou,home_moneyline,away_moneyline,playoffs,neutral
1,19,4,NE,BUF,9/14/09,1,2009,25,24,70,53,5,Clear,-10.5,47,0,0,0,0
2,22,19,NYJ,NE,9/20/09,2,2009,16,9,69,41,5,Clear,3.5,46,0,0,0,0
3,19,2,NE,ATL,9/27/09,3,2009,26,10,62,96,0,Rain,-4.5,47,0,0,0,0
4,19,3,NE,BAL,10/4/09,4,2009,27,21,64,80,2,Cloudy,-1,44,0,0,0,0
5,10,19,DEN,NE,10/11/09,5,2009,20,17,30,72,4,Cloudy,3,41,0,0,0,0
6,19,31,NE,TEN,10/18/09,6,2009,59,0,39,94,19,Snow,-9,43,0,0,0,0
7,30,19,TB,NE,10/25/09,7,2009,7,35,59,59,16,Partly Cloudy,14.5,45,0,0,0,1
8,19,17,NE,MIA,11/8/09,9,2009,27,17,65,44,8,Sunny,-10.5,46.5,0,0,0,0
9,14,19,IND,NE,11/15/09,10,2009,35,34,0,0,0,Closed Roof,-3,49.5,0,0,0,0
10,19,22,NE,NYJ,11/22/09,11,2009,31,14,45,68,10,Cloudy,-10.5,45,0,0,0,0
11,20,19,NO,NE,11/30/09,12,2009,38,17,57,0,0,Dome,-3,55.5,0,0,0,0
12,17,19,MIA,NE,12/6/09,13,2009,22,21,75,66,5,Clear,4,45.5,0,0,0,0
13,19,5,NE,CAR,12/13/09,14,2009,20,10,40,59,4,Cloudy,-13,44,0,0,0,0
14,4,19,BUF,NE,12/20/09,15,2009,10,17,28,52,5,Cloudy,7,40.5,0,0,0,0
15,19,15,NE,JAC,12/27/09,16,2009,35,7,55,88,14,Cloudy,-9,43.5,0,0,0,0
16,13,19,HOU,NE,1/3/10,17,2009,34,27,0,0,0,Closed Roof,-9,46,0,0,0,0
18,13,22,HOU,NYJ,9/13/09,1,2009,7,24,0,0,0,Closed Roof,-4,44.5,0,0,0,0
19,22,31,NYJ,TEN,9/27/09,3,2009,24,17,66,90,8,Rain,-3,37,0,0,0,0
20,20,22,NO,NYJ,10/4/09,4,2009,24,10,80,0,0,Dome,-7,45.5,0,0,0,0
21,17,22,MIA,NYJ,10/12/09,5,2009,31,27,83,69,7,Clear,1,36,0,0,0,0
22,22,4,NYJ,BUF,10/18/09,6,2009,13,16,44,37,18,Cloudy,-9.5,37.5,0,0,0,0
23,23,22,OAK,NYJ,10/25/09,7,2009,0,38,70,53,6,Sunny,6.5,35,0,0,0,0
24,22,17,NYJ,MIA,11/1/09,8,2009,25,30,54,65,10,Cloudy,-3.5,40.5,0,0,0,0
25,22,15,NYJ,JAC,11/15/09,10,2009,22,24,62,88,5,Cloudy,-7,40.5,0,0,0,0
26,22,5,NYJ,CAR,11/29/09,12,2009,17,6,53,44,9,Clear,-3,41.5,0,0,0,0
27,4,22,BUF,NYJ,12/3/09,13,2009,13,19,0,0,0,Closed Roof,3,37,0,0,0,0
28,30,22,TB,NYJ,12/13/09,14,2009,3,26,73,94,5,Sunny,3.5,37,0,0,0,0
29,22,2,NYJ,ATL,12/20/09,15,2009,7,10,29,31,21,Clear,-6,40,0,0,0,0
30,14,22,IND,NYJ,12/27/09,16,2009,15,29,0,0,0,Closed Roof,-5.5,40.5,0,0,0,0
31,22,7,NYJ,CIN,1/3/10,17,2009,37,0,20,49,21,Cloudy,-10,35,0,0,0,0
35,2,17,ATL,MIA,9/13/09,1,2009,19,7,0,0,0,Dome,-4.5,43.5,0,0,0,0
36,17,14,MIA,IND,9/21/09,2,2009,23,27,84,67,10,Cloudy,3,42,0,0,0,0
37,26,17,SD,MIA,9/27/09,3,2009,23,13,80,58,11,Sunny,-6,44,0,0,0,0
